class,f1_solo_mean,f1_solo_std,f1_imu_from_gmu_mean,f1_imu_from_gmu_std,delta
26,0.9027,0.0552,0.2054,0.0369,0.6973
25,0.7736,0.0379,0.1394,0.1180,0.6342
23,0.7658,0.0361,0.1893,0.0932,0.5765
13,0.9403,0.0571,0.3851,0.2375,0.5552
14,0.5827,0.1756,0.0821,0.0511,0.5006
16,0.9740,0.0433,0.5251,0.3080,0.4490
5,0.8915,0.0989,0.4674,0.0256,0.4241
18,0.7668,0.0340,0.3689,0.2806,0.3979
1,0.4632,0.2109,0.1218,0.0950,0.3413
15,0.7837,0.0978,0.4819,0.0869,0.3018
10,0.8919,0.0524,0.5940,0.1550,0.2979
12,0.5314,0.0304,0.2692,0.1374,0.2621
21,0.5285,0.0924,0.2714,0.1266,0.2571
20,0.6307,0.0941,0.3741,0.1585,0.2566
17,0.5705,0.2519,0.3616,0.1379,0.2089
8,0.8971,0.1103,0.7510,0.1726,0.1461
9,0.5507,0.0385,0.4075,0.0775,0.1433
7,0.9277,0.0371,0.7970,0.1873,0.1307
24,0.2615,0.1780,0.1528,0.0710,0.1088
22,0.3603,0.2220,0.2652,0.1599,0.0952
6,0.4171,0.1176,0.3267,0.0814,0.0903
19,0.7762,0.1297,0.6941,0.0768,0.0821
2,0.8214,0.0422,0.7568,0.0276,0.0646
4,0.8642,0.0437,0.8252,0.0173,0.0390
3,0.9788,0.0251,0.9740,0.0342,0.0048
0,0.4011,0.0435,0.4252,0.0471,-0.0241
11,0.4204,0.2370,0.5794,0.0649,-0.1590
