channel,mean_gate_overall,cor_wifi_f1,cor_imu_f1,cor_imu_sigma
0,0.1686,+0.0734,-0.0226,+0.2519
1,0.0103,-0.1081,-0.6080,-0.4388
2,0.1604,-0.0624,+0.3588,-0.0556
3,0.7112,+0.3289,-0.1670,+0.0329
4,0.5410,-0.1584,+0.6189,+0.4025
5,0.0631,-0.0372,-0.4038,-0.2611
6,0.0661,-0.0026,+0.3932,+0.0085
7,0.0249,-0.0829,-0.3850,-0.4747
8,0.1297,+0.2501,+0.1758,-0.1635
9,0.0985,-0.0388,-0.1892,-0.2867
10,0.0897,+0.3375,+0.0954,-0.3607
11,0.6410,-0.2185,+0.5092,+0.3338
12,0.3736,-0.3975,+0.4813,+0.3354
13,0.2258,+0.2217,+0.2334,-0.3185
14,0.3957,-0.1719,+0.3000,+0.1640
15,0.1823,+0.2697,+0.5241,-0.0321
16,0.0120,-0.0532,-0.2102,-0.1662
17,0.8878,-0.3054,-0.1029,+0.4423
18,0.0214,-0.1868,-0.4736,-0.2518
19,0.6624,+0.3529,-0.5082,-0.4136
20,0.3375,-0.0169,+0.0164,-0.0941
21,0.6783,-0.0408,+0.6093,+0.3951
22,0.0487,+0.3599,+0.1302,-0.3542
23,0.3273,-0.1631,+0.4031,+0.1493
24,0.4069,+0.0628,+0.6227,+0.0494
25,0.9489,+0.1466,+0.4283,+0.3903
26,0.9793,+0.0227,+0.4905,+0.4219
27,0.1371,-0.0778,+0.1370,-0.1280
28,0.6458,+0.1355,-0.2245,-0.3007
29,0.5801,-0.1679,+0.5144,+0.1906
30,0.2426,+0.0386,+0.4373,-0.1805
31,0.1735,-0.0587,+0.3463,-0.0097
32,0.7029,-0.1878,-0.5293,+0.2494
33,0.1887,-0.1688,+0.3122,-0.0723
34,0.0457,+0.0978,-0.4451,-0.4740
35,0.0979,-0.0723,+0.4130,-0.1145
36,0.2035,+0.1815,-0.7400,-0.3839
37,0.3096,+0.1100,-0.8376,-0.2489
38,0.0091,-0.0738,-0.4447,-0.4845
39,0.1734,-0.1029,+0.3126,-0.0323
40,0.0241,-0.1000,-0.5427,-0.3992
41,0.1794,-0.4409,+0.1145,+0.6319
42,0.7234,+0.1871,-0.4260,-0.0561
43,0.0223,-0.2520,-0.1139,+0.0461
44,0.7187,-0.1637,-0.2464,-0.0815
45,0.1761,-0.1200,+0.3922,-0.0100
46,0.1495,-0.1351,+0.4634,-0.0141
47,0.0191,-0.1526,-0.5713,-0.3779
48,0.2728,-0.1900,+0.4424,+0.1408
49,0.0366,-0.0309,-0.1404,-0.3269
50,0.6175,+0.3845,-0.4263,-0.2492
51,0.0816,-0.1208,-0.1585,-0.2034
52,0.0114,-0.1724,-0.4572,-0.3552
53,0.0194,-0.1193,-0.5926,-0.4002
54,0.0899,-0.0831,-0.1025,-0.1213
55,0.0459,-0.2526,-0.4437,-0.1559
56,0.3413,-0.3791,+0.4856,+0.2413
57,0.4721,+0.4697,-0.5153,-0.3633
58,0.1258,-0.0946,+0.4540,+0.0186
59,0.2502,-0.1927,+0.5402,+0.1356
60,0.8189,-0.0796,+0.7425,+0.4000
61,0.7365,+0.3462,-0.4696,-0.2475
62,0.7161,+0.0877,+0.0129,-0.0382
63,0.0772,-0.0795,+0.0774,+0.1985
