class,name,category,wifi_f1,imu_f1,stats_f1,wifi_minus_imu,stats_minus_deep
0,standing,static_posture,0.0,0.4615311515835282,0.42494829897398007,-0.4615311515835282,-0.03658285260954813
1,walking,locomotion,0.18403478375290536,0.4126838599720489,0.4430628906722066,-0.22864907621914357,0.030379030700157683
2,jumping,locomotion,0.048126159554730985,0.7689954617357774,0.7851904275037456,-0.7208693021810464,0.016194965767968195
3,sitting,static_posture,0.10746791381040852,0.9722627737226277,1.0,-0.8647948599122192,0.027737226277372296
4,lying,static_posture,0.009318610288176677,0.8618879339225411,0.9617786794369136,-0.8525693236343644,0.09989074551437249
5,wave right hand,upper_body_arm,0.026030154302461073,0.8747570810072611,0.9024530392175208,-0.8487269267048001,0.02769595821025972
6,drink water,upper_body_arm,0.14340220423903435,0.3360096965380516,0.5565115540864243,-0.19260749229901727,0.22050185754837265
7,torso-twisting,bilateral_torso,0.0,0.9328040791705707,0.8906106742920074,-0.9328040791705707,-0.04219340487856338
8,kick right foot,sports_limb,0.10596274361829745,0.9801006066154404,0.9664603664066751,-0.8741378629971429,-0.013640240208765309
9,right hand up,upper_body_arm,0.027248296771063517,0.45424126424390077,0.725514957498218,-0.42699296747283727,0.27127369325431727
10,draw clockwise,upper_body_arm,0.012244897959183673,0.880404113559764,0.8769747576379388,-0.8681592156005803,-0.00342935592182525
11,turn left,locomotion,0.0,0.4617843783215593,0.685957886694083,-0.4617843783215593,0.2241735083725237
12,turn right,locomotion,0.03003907873950279,0.5217923865978786,0.4423419006241664,-0.49175330785837584,-0.07945048597371224
13,wave left hand,upper_body_arm,0.005063291139240506,0.9851253252979044,0.9331495563973913,-0.9800620341586639,-0.05197576890051314
14,throw,sports_limb,0.008465845464725643,0.5173625497318128,0.5161181725039912,-0.5088967042670872,-0.0012443772278216692
15,kick left foot,sports_limb,0.0,0.7803949588380441,0.6246366878535319,-0.7803949588380441,-0.15575827098451223
16,golf swing,sports_limb,0.018366141668893964,0.9381735031950236,1.0,-0.9198073615261296,0.06182649680497643
17,basketball shooting,sports_limb,0.03114173961631589,0.628879716964758,0.8367080470780568,-0.5977379773484421,0.20782833011329882
18,boxing,bilateral_torso,0.04306918238993711,0.7234663176143528,0.7328045068374902,-0.6803971352244157,0.00933818922313745
19,squatting,sports_limb,0.08593049057182428,0.7872584226140271,0.775359340444093,-0.7013279320422028,-0.011899082169934072
20,push,upper_body_arm,0.0,0.6805738932048652,0.8478542617378151,-0.6805738932048652,0.16728036853294992
21,pull,upper_body_arm,0.008127062706270626,0.3958177920962167,0.32426397170533194,-0.3876907293899461,-0.07155382039088476
22,bending (stand),static_posture,0.06549549549549549,0.49604967879468786,0.5793317088351314,-0.4305541832991924,0.08328203004044354
23,bending (sit),static_posture,0.005,0.7106867150401925,0.744666166692716,-0.7056867150401925,0.033979451652523474
24,leg stretch,sports_limb,0.03769949751360359,0.33304225958342115,0.5030013672706779,-0.2953427620698176,0.16995910768725675
25,left hand up,upper_body_arm,0.0,0.7776429585646056,0.8859031248825252,-0.7776429585646056,0.10826016631791957
26,draw counterclockwise,upper_body_arm,0.0,0.9057024914533907,0.9945945945945945,-0.9057024914533907,0.08889210314120388
